pressure,temp
1001.1820124245576,22.975574449636042
1000.9633080837536,22.96636724844575
1000.9087302319322,22.975574449636042
1000.9960162599818,22.96636724844575
998.9183653690445,22.975574449636042
936.710225781341,22.952556422213092
878.5066275622859,22.924934681737795
829.4949253029134,22.911123767495155
783.8446803075256,22.89270916953683
740.861272411448,22.88350185099989
701.0518506147647,22.86048349761404
663.8852134230324,22.855879817157984
629.1078164736905,22.842068756232038
596.7792911920053,22.842068756232038
566.686937755132,22.819050256162882
538.1228335504962,22.814446546370164
511.8695153870462,22.800635397434235
486.8776701300248,22.796031674603
463.4951430197186,22.777616750681773
441.8180472701772,22.768409269163385
421.03898372420946,22.75920177460648
401.51933874587957,22.75920177460648
383.21487288924783,22.745390508323908
365.822059559638,22.736182981170714
348.9253220073097,22.726975440979004
333.2461991961053,22.708560321480036
318.5988746511283,22.694748947629705
304.2464736837458,22.690145149827003
290.82471582652096,22.680937544442713
278.15689280152844,22.66712611191906
266.2465402357073,22.662522294558585
254.59991193032917,22.653314650058746
243.5093579790038,22.644106992520392
233.08334940708738,22.63489932194352
223.21069584716676,22.625691638328135
213.7057317469315,22.616483941674232
204.65475771649676,22.59806850925088
195.95497258731768,22.58886077348143
187.87701545315045,22.58425690070726
179.92638168727927,22.57044526282698
172.3889191721108,22.556633595610037
165.30269425550307,22.547425801167265
158.52144680063785,22.542821899056435
152.11985389857225,22.533614085055888
145.816440576147,22.51980233960785
139.97932670156996,22.515198417939246
134.49653421624416,22.515198417939246
129.0744168863711,22.49678269866854
123.93716260788675,22.487574819475412
121.04081102639259,22.482970874989405
121.03883167233984,22.473762976238504
121.03685233004332,22.482970874989405
121.03685233004332,22.473762976238504
121.03091437370551,22.46915902197361
121.0249765232001,22.459951103664935
121.0249765232001,22.455347139621153
121.02299726321827,22.450743172317743
121.02299726321827,22.43693125084974
121.01903877853697,22.427723286906257
121.02101801499704,22.43693125084974
121.01508034090172,22.427723286906257
121.01112195031517,22.423119300045073
121.01310113972715,22.41851530992426
121.01112195031517,22.41851530992426
121.00716360678115,22.413911316543818
121.00518445265934,22.409307319903746
121.00716360678115,22.400099316844717
121.00122617970912,22.400099316844717
121.0032053103022,22.39549531042576
120.99924706088127,22.39549531042576
120.99726795381868,22.386287287808955
120.99528885852158,22.39089130074717
120.99528885852158,22.39549531042576
120.99330977499119,22.377079252153635
120.99726795381868,22.377079252153635
120.99528885852158,22.377079252153635
120.99726795381868,22.377079252153635
120.99528885852158,22.386287287808955
120.99528885852158,22.38168327161111
120.99528885852158,22.3678712034598
120.99924706088127,22.37247522943653
120.99330977499119,22.38168327161111
120.99330977499119,22.37247522943653
120.99330977499119,22.38168327161111
120.99133070322691,22.377079252153635
